# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.30217,MgII_2796,0.068,0.006 ,-,12.23,0.09 ,-,75,-,-,YYYY,Y,I
-,-,2.30217,MgII_2803,0.035,0.006 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.30217,MgII,-,-,-,12.23,0.09 ,-,75,27.8, 8.8,YYYY,Y,I
2,-,2.98319,MgII_2796,1.472, $\pm$ 0.03 ,-,14.70, $\pm$ 0.58 ,S,161,-,-,YYYY,Y,I
-,-,2.98319,MgII_2803,1.211, $\pm$ 0.05 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.98147,MgII,-,-,-,12.38,0.11 ,-,57,16.3,10.2,YYYY,Y,I
-,2b,2.98293,MgII,-,-,-,14.69,0.60 ,S,89,26.0, 5.1,YYYY,Y,I
-,2c,2.98431,MgII,-,-,-,13.16,0.03 ,-,67,23.2, 2.8,YYYY,Y,I
2,-,2.98287,FeII_2600,0.695,0.020 ,-,14.27,0.03 ,-,78,-,-,YYYY,Y,I
-,-,2.98287,FeII_2382,0.673,0.005 ,-,-,-,-,-,-,-,-,-,-
-,-,2.98287,FeII_2344,0.454,0.012 ,-,-,-,-,-,-,-,-,-,-
-,-,2.98287,FeII_2586,0.416,0.019 ,-,-,-,-,-,-,-,-,-,-
-,-,2.98287,FeII_2374,0.217,0.010 ,-,-,-,-,-,-,-,-,-,-
-,2d,2.98275,FeII,-,-,-,14.26,0.03 ,-,69,24.4, 0.6,YYYY,Y,I
-,2c,2.98431,FeII,-,-,-,12.51,0.08 ,-,69,23.2, 0.0,YYYY,Y,I
3,-,3.44818,MgII_2796,1.983, $\pm$ 0.02 ,-,15.05, $\pm$ 0.08 ,S,263,-,-,YYYY,Y,I
-,-,3.44818,MgII_2803,1.714, $\pm$ 0.02 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.44558,MgII,-,-,-,13.15,0.15 ,-,45, 7.8, 1.6,YYYY,Y,I
-,3b,3.44637,MgII,-,-,-,12.94,0.03 ,-,53,15.0, 2.4,YYYY,Y,I
-,3c,3.44726,MgII,-,-,-,13.47,0.13 ,-,47, 9.4, 1.0,YYYY,Y,I
-,3d,3.44910,MgII,-,-,-,15.03,0.08 ,S,109,30.7, 0.7,YYYY,Y,I
3,-,3.44852,FeII_2600,1.117,0.030 ,-,14.53,0.02 ,-,185,-,-,YYYY,Y,I
-,-,3.44852,FeII_2382,1.089,0.016 ,-,-,-,-,-,-,-,-,-,-
-,-,3.44852,FeII_2344,0.750,0.018 ,-,-,-,-,-,-,-,-,-,-
-,-,3.44852,FeII_2586,0.693,0.021 ,-,-,-,-,-,-,-,-,-,-
-,-,3.44852,FeII_2374,0.369,0.015 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.44558,FeII,-,-,-,12.74,0.08 ,-,45, 7.8, 1.6,YYYY,Y,I
-,3b,3.44637,FeII,-,-,-,12.54,0.09 ,-,55,15.0, 2.4,YYYY,Y,I
-,3c,3.44726,FeII,-,-,-,13.16,0.05 ,-,47, 9.4, 0.0,YYYY,Y,I
-,3d,3.44910,FeII,-,-,-,14.50,0.02 ,-,87,30.7, 0.7,YYYY,Y,I
3,-,3.44898,CrII_2056,0.022,0.005 ,-,12.77,0.11 ,-,65,-,-,YYYY,N,I
-,-,3.44898,CrII_2062,0.016,0.005 ,-,-,-,-,-,-,-,-,-,-
-,-,3.44898,CrII_2066,0.011,0.005 ,-,-,-,-,-,-,-,-,-,-
-,3e,3.44898,CrII,-,-,-,12.77,0.11 ,-,65,22.2, 9.9,YYYY,N,I
4,-,3.53792,MgII_2796,1.887, $\pm$ 0.06 ,-,14.47, $\pm$ 0.30 ,S,206,-,-,YYYY,Y,I
-,-,3.53792,MgII_2803,1.482, $\pm$ 0.03 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.53687,MgII,-,-,-,14.40,0.36 ,S,79,24.8, 4.4,YYYY,Y,I
-,4b,3.53858,MgII,-,-,-,13.62,0.03 ,-,116,46.7, 3.2,YYYY,Y,I
-,4c,3.54021,MgII,-,-,-,12.76,0.09 ,-,43, 5.7, 0.0,YYYY,Y,I
4,-,3.53745,FeII_2382,0.666,0.020 ,-,14.08,0.06 ,-,195,-,-,YYYY,Y,I
-,-,3.53745,FeII_2600,0.653,0.019 ,-,-,-,-,-,-,-,-,-,-
-,-,3.53745,FeII_2344,0.343,0.018 ,-,-,-,-,-,-,-,-,-,-
-,-,3.53745,FeII_2586,0.301,0.024 ,-,-,-,-,-,-,-,-,-,-
-,-,3.53745,FeII_2374,0.144,0.027 ,-,-,-,-,-,-,-,-,-,-
-,4d,3.53680,FeII,-,-,-,13.61,0.03 ,-,77,27.8, 1.8,YYYY,Y,I
-,4e,3.53715,FeII,-,-,-,13.82,0.11 ,-,45, 5.7, 0.0,YYYY,Y,I
-,4b,3.53858,FeII,-,-,-,13.06,0.04 ,-,116,46.7, 3.2,YYYY,Y,I
-,4c,3.54021,FeII,-,-,-,12.34,0.13 ,-,43, 5.7, 0.0,YYYY,Y,I
5,-,4.33556,MgII_2796,0.065,0.009 ,-,12.32,0.07 ,-,43,-,-,YYYY,Y,I
-,-,4.33556,MgII_2803,0.037,0.010 ,-,-,-,-,-,-,-,-,-,-
-,5a,4.33556,MgII,-,-,-,12.32,0.07 ,-,43, 5.7, 0.0,YYYY,Y,I
5,-,4.33554,AlII_1670,0.012,0.003 ,-,11.49,0.11 ,-,41,-,-,YYYY,N,I
-,5a,4.33556,AlII,-,-,-,11.49,0.11 ,-,41, 5.7, 0.0,YYYY,N,I
6,-,4.53693,MgII_2796,0.260,0.008 ,-,12.89,0.02 ,-,97,-,-,YYYY,Y,I
-,-,4.53693,MgII_2803,0.146,0.009 ,-,-,-,-,-,-,-,-,-,-
-,6a,4.53655,MgII,-,-,-,12.68,0.02 ,-,61,18.8, 2.1,YYYY,Y,I
-,6b,4.53757,MgII,-,-,-,12.47,0.04 ,-,47, 9.2, 3.4,YYYY,Y,I
7,-,4.67058,CIV_1548,0.038,0.006 ,-,12.99,0.11 ,-,99,-,-,YYYY,Y,I
-,-,4.67058,CIV_1550,0.019,0.005 ,-,-,-,-,-,-,-,-,-,-
-,7a,4.67058,CIV,-,-,-,12.99,0.11 ,-,100,39.9,12.7,YYYY,Y,I
8,-,4.73087,MgII_2796,0.219,0.008 ,-,13.45,0.15 ,-,45,-,-,YYYY,Y,I
-,-,4.73087,MgII_2803,0.194,0.008 ,-,-,-,-,-,-,-,-,-,-
-,8a,4.73087,MgII,-,-,-,13.45,0.15 ,-,45, 7.5, 0.7,YYYY,Y,I
8,-,4.73087,FeII_2600,0.078,0.006 ,-,12.88,0.04 ,-,45,-,-,YYYY,Y,I
-,-,4.73087,FeII_2344,0.036,0.007 ,-,-,-,-,-,-,-,-,-,-
-,-,4.73087,FeII_2586,0.028,0.008 ,-,-,-,-,-,-,-,-,-,-
-,-,4.73087,FeII_1608,0.009,0.004 ,-,-,-,-,-,-,-,-,-,-
-,8a,4.73087,FeII,-,-,-,12.88,0.04 ,-,45, 7.5, 0.7,YYYY,Y,I
