# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.28111,MgII_2796,0.125,0.016 ,-,13.00,0.20 ,-,43,-,-,YYYY,Y,I
-,-,2.28111,MgII_2803,0.104,0.015 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.28111,MgII,-,-,-,13.00,0.20 ,-,43, 5.6, 0.0,YYYY,Y,I
2,-,2.63527,MgII_2796,0.664, $\pm$ 0.12 ,-,16.44, $\pm$ 3.06 ,S,63,-,-,YYYY,Y,I
-,-,2.63527,MgII_2803,0.654, $\pm$ 0.14 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.63527,MgII,-,-,-,16.44,3.06 ,S,63,11.8, 0.0,YYYY,Y,I
2,-,2.63527,FeII_2382,0.103,0.017 ,-,12.92,0.07 ,-,49,-,-,YYYY,Y,I
-,-,2.63527,FeII_2600,0.095,0.022 ,-,-,-,-,-,-,-,-,-,-
-,-,2.63527,FeII_2344,0.042,0.008 ,-,-,-,-,-,-,-,-,-,-
-,-,2.63527,FeII_2586,0.032,0.027 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.63527,FeII,-,-,-,12.92,0.07 ,-,49,11.8, 5.8,YYYY,Y,I
3,-,2.68775,MgII_2796,0.532, $\pm$ 0.07 ,-,14.90, $\pm$ 0.52 ,S,59,-,-,NNYY,N,I
-,-,2.68775,MgII_2803,0.501, $\pm$ 0.06 ,-,-,-,-,-,-,-,-,-,-
-,3a,2.68775,MgII,-,-,-,14.90,0.52 ,S,59,12.0, 0.0,NNYY,N,I
3,-,2.68775,FeII_2600,0.380,0.013 ,-,14.35,0.08 ,-,51,-,-,NNYY,N,I
-,-,2.68775,FeII_2382,0.357,0.010 ,-,-,-,-,-,-,-,-,-,-
-,-,2.68775,FeII_2344,0.293,0.010 ,-,-,-,-,-,-,-,-,-,-
-,-,2.68775,FeII_2586,0.292,0.024 ,-,-,-,-,-,-,-,-,-,-
-,-,2.68775,FeII_2374,0.191,0.010 ,-,-,-,-,-,-,-,-,-,-
-,3a,2.68775,FeII,-,-,-,14.35,0.08 ,-,51,12.0, 0.7,NNYY,N,I
4,-,2.69391,MgII_2796,0.203,0.052 ,-,13.47,0.28 ,-,48,-,-,NNYY,N,I
-,-,2.69391,MgII_2803,0.176,0.057 ,-,-,-,-,-,-,-,-,-,-
-,4a,2.69392,MgII,-,-,-,13.47,0.28 ,-,48, 6.2, 0.0,NNYY,N,I
5,-,4.02778,MgII_2796,0.487, $\pm$ 0.05 ,-,14.40, $\pm$ 0.45 ,S,57,-,-,YYNY,N,I
-,5a,4.02779,MgII,-,-,-,14.40,0.45 ,S,58,12.4, 0.0,YYNY,N,I
5,-,4.02702,FeII_2382,0.332,0.052 ,-,13.72,0.06 ,-,145,-,-,YYYY,Y,I
-,-,4.02702,FeII_2600,0.323,0.028 ,-,-,-,-,-,-,-,-,-,-
-,-,4.02702,FeII_2344,0.186,0.048 ,-,-,-,-,-,-,-,-,-,-
-,-,4.02702,FeII_2586,0.169,0.034 ,-,-,-,-,-,-,-,-,-,-
-,-,4.02702,FeII_2374,0.080,0.050 ,-,-,-,-,-,-,-,-,-,-
-,5b,4.02598,FeII,-,-,-,13.51,0.10 ,-,47, 6.2, 0.0,YYYY,Y,I
-,5a,4.02779,FeII,-,-,-,13.31,0.06 ,-,53,12.4, 2.4,YYYY,Y,I
5,-,4.02704,AlII_1670,0.160,0.009 ,-,12.71,0.03 ,-,143,-,-,YYYY,N,I
-,5b,4.02598,AlII,-,-,-,12.36,0.06 ,-,43, 6.2, 0.0,YYYY,N,I
-,5a,4.02779,AlII,-,-,-,12.45,0.04 ,-,49,12.4, 2.4,YYYY,N,I
6,-,4.36573,MgII_2796,0.846,0.029 ,-,13.67,0.05 ,-,96,-,-,YYYY,Y,I
-,-,4.36573,MgII_2803,0.609,0.032 ,-,-,-,-,-,-,-,-,-,-
-,6a,4.36573,MgII,-,-,-,13.67,0.05 ,-,96,36.7, 2.5,YYYY,Y,I
6,-,4.36573,AlII_1670,0.139,0.012 ,-,12.57,0.05 ,-,95,-,-,YYYY,N,I
-,6a,4.36573,AlII,-,-,-,12.57,0.05 ,-,95,36.7, 2.5,YYYY,N,I
6,-,4.36530,CIV_1548,0.230,0.010 ,-,13.82,0.03 ,-,164,-,-,YNYY,N,I
-,-,4.36530,CIV_1550,0.124,0.006 ,-,-,-,-,-,-,-,-,-,-
-,6b,4.36529,CIV,-,-,-,13.82,0.03 ,S,164,66.8, 3.3,YNYY,N,I
7,-,4.37222,CIV_1548,0.041,0.006 ,-,13.02,0.10 ,-,141,-,-,NNYY,N,I
-,-,4.37222,CIV_1550,0.021,0.006 ,-,-,-,-,-,-,-,-,-,-
-,7a,4.37222,CIV,-,-,-,13.02,0.10 ,-,141,58.8,16.5,NNYY,N,I
8,-,4.43532,MgII_2796,0.810, $\pm$ 0.03 ,-,14.07, $\pm$ 0.20 ,S,113,-,-,YYYY,Y,I
-,-,4.43532,MgII_2803,0.629, $\pm$ 0.24 ,-,-,-,-,-,-,-,-,-,-
-,8a,4.43515,MgII,-,-,-,14.02,0.22 ,S,61,15.8, 1.4,YYYY,Y,I
-,8b,4.43549,MgII,-,-,-,13.06,0.09 ,-,182,75.7,14.1,YYYY,Y,I
8,-,4.43515,FeII_2600,0.317,0.062 ,-,13.68,0.05 ,-,57,-,-,YYYY,Y,I
-,-,4.43515,FeII_2382,0.315,0.017 ,-,-,-,-,-,-,-,-,-,-
-,-,4.43515,FeII_2344,0.181,0.032 ,-,-,-,-,-,-,-,-,-,-
-,-,4.43515,FeII_2586,0.150,0.055 ,-,-,-,-,-,-,-,-,-,-
-,-,4.43515,FeII_1608,0.055,0.008 ,-,-,-,-,-,-,-,-,-,-
-,8a,4.43515,FeII,-,-,-,13.68,0.05 ,-,55,15.8, 1.4,YYYY,Y,I
8,-,4.43515,AlII_1670,0.186,0.007 ,-,12.92,0.05 ,-,55,-,-,YYYY,N,I
-,8a,4.43515,AlII,-,-,-,12.92,0.05 ,-,55,15.8, 1.4,YYYY,N,I
8,-,4.43598,CIV_1548,0.379,0.014 ,-,14.04,0.02 ,-,278,-,-,YYYY,Y,I
-,-,4.43598,CIV_1550,0.203,0.018 ,-,-,-,-,-,-,-,-,-,-
-,8c,4.43449,CIV,-,-,-,13.75,0.02 ,-,125,50.7, 3.3,YYYY,Y,I
-,8d,4.43753,CIV,-,-,-,13.72,0.03 ,-,160,66.5, 5.3,YYYY,Y,I
9,-,4.61275,CIV_1548,0.060,0.008 ,-,13.25,0.06 ,-,53,-,-,YYYY,Y,I
-,-,4.61275,CIV_1550,0.033,0.007 ,-,-,-,-,-,-,-,-,-,-
-,9a,4.61275,CIV,-,-,-,13.25,0.06 ,-,53,14.6, 5.3,YYYY,Y,I
10,-,4.82235,MgII_2796,0.195,0.024 ,-,12.78,0.08 ,-,61,-,-,YYYY,Y,I
-,-,4.82235,MgII_2803,0.111,0.019 ,-,-,-,-,-,-,-,-,-,-
-,10a,4.82235,MgII,-,-,-,12.78,0.08 ,-,61,18.5, 7.0,YYYY,Y,I
