# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.07119,MgII_2796,0.389,0.002 ,-,13.65,0.04 ,-,49,-,-,YYYY,Y,I
-,-,2.07119,MgII_2803,0.329,0.003 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.07119,MgII,-,-,-,13.65,0.04 ,-,49,12.9, 0.5,YYYY,Y,I
2,-,2.37901,MgII_2796,0.493,0.044 ,-,13.13,0.06 ,-,243,-,-,YYYN,N,I
-,-,2.37901,MgII_2803,0.266,0.038 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.37829,MgII,-,-,-,12.93,0.06 ,-,110,44.5, 7.3,YYYN,N,I
-,2b,2.38018,MgII,-,-,-,12.70,0.12 ,-,85,32.7,11.2,YYYN,N,I
3,-,2.44321,MgII_2796,0.304,0.044 ,-,12.92,0.07 ,-,111,-,-,YNYN,N,I
-,-,2.44321,MgII_2803,0.164,0.023 ,-,-,-,-,-,-,-,-,-,-
-,3a,2.44321,MgII,-,-,-,12.92,0.07 ,-,111,45.0, 9.8,YNYN,N,I
4,-,2.44694,MgII_2796,0.356,0.028 ,-,13.01,0.05 ,-,104,-,-,NNYN,N,I
-,-,2.44694,MgII_2803,0.197,0.053 ,-,-,-,-,-,-,-,-,-,-
-,4a,2.44694,MgII,-,-,-,13.01,0.05 ,-,104,41.7, 5.2,NNYN,N,I
5,-,2.66318,MgII_2796,0.443, $\pm$ 0.04 ,-,14.64, $\pm$ 0.46 ,S,55,-,-,YYYN,N,I
-,-,2.66318,MgII_2803,0.422, $\pm$ 0.03 ,-,-,-,-,-,-,-,-,-,-
-,5a,2.66319,MgII,-,-,-,14.64,0.46 ,S,56,10.7, 0.3,YYYN,N,I
5,-,2.66319,FeII_2600,0.330,0.022 ,-,14.23,0.03 ,-,47,-,-,YYYY,Y,I
-,-,2.66319,FeII_2382,0.306,0.003 ,-,-,-,-,-,-,-,-,-,-
-,-,2.66319,FeII_2344,0.251,0.002 ,-,-,-,-,-,-,-,-,-,-
-,-,2.66319,FeII_2586,0.247,0.012 ,-,-,-,-,-,-,-,-,-,-
-,-,2.66319,FeII_2374,0.156,0.004 ,-,-,-,-,-,-,-,-,-,-
-,5a,2.66319,FeII,-,-,-,14.23,0.03 ,-,47,10.7, 0.3,YYYY,Y,I
6,-,2.87316,MgII_2796,0.257,0.018 ,-,14.59,0.22 ,-,49,-,-,YYYY,Y,I
-,-,2.87316,MgII_2803,0.249,0.022 ,-,-,-,-,-,-,-,-,-,-
-,6a,2.87317,MgII,-,-,-,14.59,0.22 ,-,50, 6.2, 0.0,YYYY,Y,I
7,-,3.14904,MgII_2796,0.196,0.019 ,-,12.81,0.06 ,-,57,-,-,YYYY,Y,I
-,-,3.14904,MgII_2803,0.115,0.014 ,-,-,-,-,-,-,-,-,-,-
-,7a,3.14904,MgII,-,-,-,12.81,0.06 ,-,57,15.7, 4.2,YYYY,Y,I
7,-,3.14904,FeII_2382,0.093,0.034 ,-,12.84,0.08 ,-,51,-,-,YYYY,Y,I
-,-,3.14904,FeII_2600,0.085,0.013 ,-,-,-,-,-,-,-,-,-,-
-,-,3.14904,FeII_2344,0.036,0.011 ,-,-,-,-,-,-,-,-,-,-
-,7a,3.14904,FeII,-,-,-,12.84,0.08 ,-,51,15.7, 4.2,YYYY,Y,I
8,-,3.25871,MgII_2796,0.710, $\pm$ 0.02 ,-,15.25, $\pm$ 0.37 ,S,100,-,-,YYYY,Y,I
