# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
5,-,3.35379,MgII_2796,0.308,0.013 ,-,13.03,0.07 ,-,82,-,-,YYYY,Y,I
-,-,3.35379,MgII_2803,0.184,0.014 ,-,-,-,-,-,-,-,-,-,-
-,5a,3.35350,MgII,-,-,-,12.64,0.12 ,-,62,19.1, 8.9,YYYY,Y,I
-,5b,3.35405,MgII,-,-,-,12.81,0.08 ,-,49,10.6, 5.5,YYYY,Y,I
6,-,4.12927,MgII_2796,0.416,0.054 ,-,13.13,0.06 ,-,91,-,-,YYYY,Y,I
-,-,4.12927,MgII_2803,0.242,0.048 ,-,-,-,-,-,-,-,-,-,-
-,6a,4.12927,MgII,-,-,-,13.13,0.06 ,-,91,34.8, 4.4,YYYY,Y,I
7,-,4.56618,CIV_1548,0.038,0.002 ,-,13.00,0.03 ,-,77,-,-,YYYY,Y,I
-,-,4.56618,CIV_1550,0.020,0.003 ,-,-,-,-,-,-,-,-,-,-
-,7a,4.56618,CIV,-,-,-,13.00,0.03 ,-,77,28.0, 3.0,YYYY,Y,I
8,-,4.63215,CIV_1548,0.019,0.001 ,-,12.69,0.04 ,-,55,-,-,YYYY,Y,I
-,-,4.63215,CIV_1550,0.010,0.002 ,-,-,-,-,-,-,-,-,-,-
-,8a,4.63215,CIV,-,-,-,12.69,0.04 ,-,55,16.8, 3.0,YYYY,Y,I
9,-,4.64421,CIV_1548,0.046,0.001 ,-,13.11,0.02 ,-,55,-,-,YYYY,Y,I
-,-,4.64421,CIV_1550,0.025,0.002 ,-,-,-,-,-,-,-,-,-,-
-,9a,4.64421,CIV,-,-,-,13.11,0.02 ,-,55,16.6, 1.3,YYYY,Y,I
10,-,4.82018,CIV_1548,0.034,0.004 ,-,12.95,0.04 ,-,65,-,-,YYYY,Y,I
-,-,4.82018,CIV_1550,0.018,0.004 ,-,-,-,-,-,-,-,-,-,-
-,10a,4.82018,CIV,-,-,-,12.95,0.04 ,-,65,22.6, 3.2,YYYY,Y,I
11,-,4.83799,CIV_1548,0.105,0.003 ,-,13.53,0.02 ,-,59,-,-,YYYY,Y,I
-,-,4.83799,CIV_1550,0.059,0.005 ,-,-,-,-,-,-,-,-,-,-
-,11a,4.83799,CIV,-,-,-,13.53,0.02 ,S,59,18.9, 1.8,YYYY,Y,I
12,-,5.04838,MgI_2852,0.177,0.018 ,-,12.17,0.07 ,-,146,-,-,YYYY,N,I
-,12a,5.04687,MgI,-,-,-,11.49,0.25 ,-,55,14.8, 1.0,YYYY,N,I
-,12b,5.04879,MgI,-,-,-,12.07,0.05 ,-,85,31.5, 0.6,YYYY,N,I
12,-,5.04811,MgII_2796,1.650, $\pm$ 0.01 ,-,15.60, $\pm$ 0.58 ,S,149,-,-,YYYY,Y,I
-,-,5.04811,MgII_2803,1.531, $\pm$ 0.03 ,-,-,-,-,-,-,-,-,-,-
-,12c,5.04587,MgII,-,-,-,12.25,0.15 ,-,47, 6.0, 0.0,YYYY,Y,I
-,12a,5.04687,MgII,-,-,-,13.84,0.10 ,S,57,14.8, 1.0,YYYY,Y,I
-,12d,5.04863,MgII,-,-,-,15.59,0.59 ,S,104,25.6, 3.2,YYYY,Y,I
12,-,5.04832,FeII_2600,1.096,0.012 ,-,14.43,0.01 ,-,142,-,-,YYYY,Y,I
-,-,5.04832,FeII_2382,1.061,0.016 ,-,-,-,-,-,-,-,-,-,-
-,-,5.04832,FeII_2344,0.725,0.026 ,-,-,-,-,-,-,-,-,-,-
-,-,5.04832,FeII_2586,0.650,0.011 ,-,-,-,-,-,-,-,-,-,-
-,-,5.04832,FeII_2374,0.329,0.035 ,-,-,-,-,-,-,-,-,-,-
-,-,5.04832,FeII_1608,0.263,0.008 ,-,-,-,-,-,-,-,-,-,-
-,12a,5.04687,FeII,-,-,-,13.55,0.03 ,-,55,14.8, 1.0,YYYY,Y,I
-,12b,5.04879,FeII,-,-,-,14.37,0.01 ,-,88,31.5, 0.6,YYYY,Y,I
12,-,5.04836,SiII_1526,0.588,0.004 ,-,14.79,0.02 ,-,139,-,-,YYYY,N,I
-,-,5.04836,SiII_1808,0.036,0.008 ,-,-,-,-,-,-,-,-,-,-
-,12a,5.04687,SiII,-,-,-,13.90,0.03 ,-,51,14.8, 1.0,YYYY,N,I
-,12b,5.04879,SiII,-,-,-,14.73,0.03 ,-,83,31.5, 0.6,YYYY,N,I
12,-,5.04836,AlII_1670,0.512, $\pm$ 0.04 ,-,13.36, $\pm$ 0.11 ,S,142,-,-,YYYN,N,I
-,12a,5.04687,AlII,-,-,-,12.59,0.14 ,-,51,14.8, 1.0,YYYN,N,I
-,12b,5.04879,AlII,-,-,-,13.28,0.13 ,S,83,31.5, 0.6,YYYN,N,I
12,-,5.04879,MnII_2576,0.045,0.009 ,-,12.34,0.10 ,-,85,-,-,YYYY,N,I
-,-,5.04879,MnII_2594,0.036,0.009 ,-,-,-,-,-,-,-,-,-,-
-,-,5.04879,MnII_2606,0.026,0.012 ,-,-,-,-,-,-,-,-,-,-
-,12b,5.04879,MnII,-,-,-,12.34,0.10 ,-,85,31.5, 0.6,YYYY,N,I
12,-,5.04722,CIV_1548,0.374,0.011 ,-,14.50,0.15 ,-,159,-,-,YYYY,Y,I
-,-,5.04722,CIV_1550,0.230,0.026 ,-,-,-,-,-,-,-,-,-,-
-,12e,5.04614,CIV,-,-,-,14.36,0.21 ,S,41, 5.3, 0.0,YYYY,Y,I
-,12f,5.04750,CIV,-,-,-,13.95,0.03 ,-,164,68.8, 5.4,YYYY,Y,I
13,-,5.10978,MgII_2796,0.175,0.008 ,-,12.70,0.02 ,-,65,-,-,YYYY,Y,I
-,-,5.10978,MgII_2803,0.097,0.012 ,-,-,-,-,-,-,-,-,-,-
-,13a,5.10978,MgII,-,-,-,12.70,0.02 ,-,65,21.0, 1.9,YYYY,Y,I
13,-,5.10978,FeII_2382,0.039,0.009 ,-,12.40,0.07 ,-,65,-,-,YYYY,Y,I
-,-,5.10978,FeII_2600,0.035,0.009 ,-,-,-,-,-,-,-,-,-,-
-,13a,5.10978,FeII,-,-,-,12.40,0.07 ,-,65,21.0, 1.9,YYYY,Y,I
13,-,5.10928,CIV_1548,0.067,0.009 ,-,13.25,0.06 ,-,101,-,-,YYYY,Y,I
-,-,5.10928,CIV_1550,0.035,0.007 ,-,-,-,-,-,-,-,-,-,-
-,13b,5.10928,CIV,-,-,-,13.25,0.06 ,-,101,39.9, 6.7,YYYY,Y,I
14,-,5.16513,CIV_1548,0.083,0.009 ,-,13.33,0.06 ,-,172,-,-,YYYY,Y,I
-,-,5.16513,CIV_1550,0.042,0.009 ,-,-,-,-,-,-,-,-,-,-
-,14a,5.16513,CIV,-,-,-,13.33,0.06 ,-,172,73.0,13.1,YYYY,Y,I
15,-,5.25642,CIV_1548,0.084,0.008 ,-,13.37,0.05 ,-,77,-,-,YYYY,Y,I
-,-,5.25642,CIV_1550,0.045,0.010 ,-,-,-,-,-,-,-,-,-,-
-,15a,5.25642,CIV,-,-,-,13.37,0.05 ,-,77,28.4, 4.2,YYYY,Y,I
16,-,5.43785,CIV_1548,0.067,0.013 ,-,13.35,0.08 ,-,47,-,-,YYYN,N,I
-,-,5.43785,CIV_1550,0.039,0.012 ,-,-,-,-,-,-,-,-,-,-
-,16a,5.43785,CIV,-,-,-,13.35,0.08 ,-,47,10.9, 1.3,YYYN,N,I
16,-,5.43785,SiIV_1393,0.075,0.003 ,-,13.09,0.02 ,-,45,-,-,YYYY,Y,I
-,-,5.43785,SiIV_1402,0.045,0.003 ,-,-,-,-,-,-,-,-,-,-
-,16a,5.43785,SiIV,-,-,-,13.09,0.02 ,-,45,10.9, 1.3,YYYY,Y,I
17,-,5.50070,CIV_1548,0.065, - ,U,13.21, - ,U,49,-,-,NNYN,N,I
-,-,5.50070,CIV_1550,0.044, - ,U,-,-,-,-,-,-,-,-,-
-,17a,5.50070,CIV,-,-,-,13.21, - ,U,49,12.4, 0.0,NNYN,N,I
17,-,5.50070,SiIV_1393,0.015,0.003 ,-,12.25,0.13 ,-,49,-,-,NNYY,N,I
-,-,5.50070,SiIV_1402,0.008,0.003 ,-,-,-,-,-,-,-,-,-,-
-,17a,5.50070,SiIV,-,-,-,12.25,0.13 ,-,49,12.4,10.8,NNYY,N,I
18,-,5.51127,CIV_1548,0.044, - ,U,13.04, - ,U,43,-,-,NNYN,N,I
-,-,5.51127,CIV_1550,0.042, - ,U,-,-,-,-,-,-,-,-,-
-,18a,5.51127,CIV,-,-,-,13.04, - ,U,43, 8.3, 0.0,NNYN,N,I
18,-,5.51127,SiIV_1393,0.015,0.003 ,-,12.27,0.06 ,-,43,-,-,NNYY,N,I
-,-,5.51127,SiIV_1402,0.008,0.003 ,-,-,-,-,-,-,-,-,-,-
-,18a,5.51127,SiIV,-,-,-,12.27,0.06 ,-,43, 8.3, 6.4,NNYY,N,I
