# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.27434,MgII_2796,0.154,0.009 ,-,13.17,0.32 ,-,41,-,-,YYYY,Y,I
-,-,2.27434,MgII_2803,0.125,0.008 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.27433,MgII,-,-,-,13.17,0.32 ,-,42, 6.0, 1.2,YYYY,Y,I
2,-,2.66858,MgII_2796,0.405,0.032 ,-,13.92,0.26 ,-,51,-,-,YYYY,Y,I
-,-,2.66858,MgII_2803,0.363,0.027 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.66858,MgII,-,-,-,13.92,0.26 ,-,51,11.9, 0.6,YYYY,Y,I
2,-,2.66859,FeII_2600,0.330,0.021 ,-,14.04,0.05 ,-,49,-,-,YYYY,Y,I
-,-,2.66859,FeII_2382,0.314,0.008 ,-,-,-,-,-,-,-,-,-,-
-,-,2.66859,FeII_2344,0.239,0.011 ,-,-,-,-,-,-,-,-,-,-
-,-,2.66859,FeII_2586,0.224,0.014 ,-,-,-,-,-,-,-,-,-,-
-,-,2.66859,FeII_2374,0.123,0.009 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.66858,FeII,-,-,-,14.04,0.05 ,-,49,11.9, 0.6,YYYY,Y,I
3,-,3.36457,MgII_2796,0.890, $\pm$ 0.02 ,-,14.21, $\pm$ 0.13 ,S,96,-,-,YYYY,Y,I
-,-,3.36457,MgII_2803,0.753, $\pm$ 0.01 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.36346,MgII,-,-,-,12.47,0.07 ,-,58,17.4, 6.9,YYYY,Y,I
-,3b,3.36473,MgII,-,-,-,14.21,0.14 ,S,73,22.9, 1.6,YYYY,Y,I
3,-,3.36473,FeII_2600,0.510,0.083 ,-,13.96,0.06 ,-,67,-,-,YYYY,Y,I
-,-,3.36473,FeII_2382,0.499,0.030 ,-,-,-,-,-,-,-,-,-,-
-,-,3.36473,FeII_2344,0.310,0.042 ,-,-,-,-,-,-,-,-,-,-
-,-,3.36473,FeII_2586,0.264,0.038 ,-,-,-,-,-,-,-,-,-,-
-,-,3.36473,FeII_2374,0.122,0.021 ,-,-,-,-,-,-,-,-,-,-
-,3b,3.36473,FeII,-,-,-,13.96,0.06 ,-,67,22.9, 1.6,YYYY,Y,I
3,-,3.36473,CrII_2056,0.033,0.008 ,-,12.95,0.10 ,-,65,-,-,YYYY,N,I
-,-,3.36473,CrII_2062,0.025,0.008 ,-,-,-,-,-,-,-,-,-,-
-,3b,3.36473,CrII,-,-,-,12.95,0.10 ,-,65,22.9, 1.6,YYYY,N,I
4,-,3.67961,MgII_2796,0.476,0.056 ,-,13.11,0.03 ,-,295,-,-,YYYY,Y,I
-,-,3.67961,MgII_2803,0.255,0.022 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.67777,MgII,-,-,-,12.56,0.05 ,-,85,32.2, 6.2,YYYY,Y,I
-,4b,3.67897,MgII,-,-,-,12.42,0.10 ,-,67,22.6, 9.9,YYYY,Y,I
-,4c,3.67985,MgII,-,-,-,12.40,0.07 ,-,44, 5.7, 0.0,YYYY,Y,I
-,4d,3.68150,MgII,-,-,-,12.62,0.03 ,-,100,39.5, 4.1,YYYY,Y,I
5,-,4.52189,CIV_1548,0.082,0.009 ,-,13.36,0.09 ,-,83,-,-,YYYN,N,I
-,-,4.52189,CIV_1550,0.043,0.008 ,-,-,-,-,-,-,-,-,-,-
-,5a,4.52189,CIV,-,-,-,13.36,0.09 ,-,83,31.9, 8.9,YYYN,N,I
6,-,4.83040,CIV_1548,0.152,0.006 ,-,13.64,0.04 ,-,111,-,-,YYYY,Y,I
-,-,4.83040,CIV_1550,0.082,0.008 ,-,-,-,-,-,-,-,-,-,-
-,6a,4.83005,CIV,-,-,-,13.49,0.05 ,-,77,28.6, 5.0,YYYY,Y,I
-,6b,4.83124,CIV,-,-,-,13.11,0.10 ,-,53,16.0, 7.3,YYYY,Y,I
7,-,4.98550,MgII_2796,0.053,0.006 ,-,12.14,0.05 ,-,51,-,-,YYYY,Y,I
-,-,4.98550,MgII_2803,0.028,0.005 ,-,-,-,-,-,-,-,-,-,-
-,7a,4.98550,MgII,-,-,-,12.14,0.05 ,-,51,12.8, 4.9,YYYY,Y,I
7,-,4.98472,CIV_1548,0.133,0.010 ,-,13.55,0.04 ,-,218,-,-,YYYY,Y,I
-,-,4.98472,CIV_1550,0.069,0.010 ,-,-,-,-,-,-,-,-,-,-
-,7b,4.98307,CIV,-,-,-,13.18,0.07 ,-,109,43.8, 8.8,YYYY,Y,I
-,7c,4.98597,CIV,-,-,-,13.31,0.04 ,-,83,31.5, 4.1,YYYY,Y,I
8,-,5.00318,CIV_1548,0.092,0.005 ,-,13.63,0.07 ,-,43,-,-,YYYY,Y,I
-,-,5.00318,CIV_1550,0.061,0.017 ,-,-,-,-,-,-,-,-,-,-
-,8a,5.00318,CIV,-,-,-,13.63,0.07 ,S,43, 8.5, 1.7,YYYY,Y,I
9,-,5.24266,MgII_2796,1.169,0.009 ,-,13.81,0.04 ,-,110,-,-,YYYY,Y,I
-,-,5.24266,MgII_2803,0.935,0.025 ,-,-,-,-,-,-,-,-,-,-
-,9a,5.24205,MgII,-,-,-,13.65,0.03 ,-,73,26.2, 1.4,YYYY,Y,I
-,9b,5.24303,MgII,-,-,-,13.25,0.12 ,-,49,10.9, 2.1,YYYY,Y,I
-,9c,5.24665,MgII,-,-,-,12.35,0.04 ,-,49,10.5, 3.9,YYYY,Y,I
9,-,5.24229,FeII_2382,0.242,0.010 ,-,13.27,0.03 ,-,94,-,-,YYYY,Y,I
-,-,5.24229,FeII_2600,0.224,0.019 ,-,-,-,-,-,-,-,-,-,-
-,-,5.24229,FeII_2344,0.096,0.015 ,-,-,-,-,-,-,-,-,-,-
-,-,5.24229,FeII_2586,0.072,0.008 ,-,-,-,-,-,-,-,-,-,-
-,9a,5.24205,FeII,-,-,-,13.15,0.03 ,-,73,26.2, 1.4,YYYY,Y,I
-,9b,5.24303,FeII,-,-,-,12.66,0.08 ,-,49,10.9, 2.1,YYYY,Y,I
