# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.40912,MgII_2796,0.329,0.023 ,-,12.93,0.09 ,-,291,-,-,YNYY,N,I
-,-,2.40912,MgII_2803,0.171,0.030 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.40839,MgII,-,-,-,12.73,0.08 ,-,99,38.8, 8.3,YNYY,N,I
-,1b,2.41027,MgII,-,-,-,12.49,0.19 ,-,248,106.2,61.6,YNYY,N,I
2,-,4.42939,CIV_1548,0.233,0.006 ,-,13.83,0.03 ,-,198,-,-,NNYY,N,I
-,-,4.42939,CIV_1550,0.125,0.007 ,-,-,-,-,-,-,-,-,-,-
-,2a,4.42776,CIV,-,-,-,13.19,0.06 ,-,73,25.4, 5.6,NNYY,N,I
-,2b,4.42928,CIV,-,-,-,13.43,0.04 ,S,71,25.1, 4.4,NNYY,N,I
-,2c,4.43059,CIV,-,-,-,13.39,0.04 ,S,73,25.7, 4.3,NNYY,N,I
3,-,4.43862,MgI_2852,0.342,0.041 ,-,12.47,0.05 ,-,241,-,-,YYYY,N,I
-,3a,4.43757,MgI,-,-,-,12.29,0.06 ,-,106,41.5, 1.6,YYYY,N,I
-,3b,4.44069,MgI,-,-,-,11.99,0.10 ,-,71,23.3, 1.4,YYYY,N,I
3,-,4.43786,MgII_2796,3.893,0.03 ,-,15.51,0.16 ,S,359,-,-,YYYY,Y,I
-,-,4.43786,MgII_2803,3.672,0.30 ,-,-,-,-,-,-,-,-,-,-
-,3c,4.43495,MgII,-,-,-,14.12,0.08 ,S,92,32.7, 1.3,YYYY,Y,I
-,3a,4.43757,MgII,-,-,-,15.16,0.20 ,S,146,41.5, 1.6,YYYY,Y,I
-,3d,4.43930,MgII,-,-,-,13.95,0.13 ,S,101,38.8, 5.3,YYYY,Y,I
-,3b,4.44069,MgII,-,-,-,15.20,0.28 ,S,89,23.3, 1.4,YYYY,Y,I
3,-,4.43801,FeII_2382,2.714,0.024 ,-,14.91,0.01 ,-,342,-,-,YYYY,Y,I
-,-,4.43801,FeII_2600,2.264,0.309 ,-,-,-,-,-,-,-,-,-,-
-,-,4.43801,FeII_2344,1.923,0.075 ,-,-,-,-,-,-,-,-,-,-
-,-,4.43801,FeII_2586,1.292,1.601 ,-,-,-,-,-,-,-,-,-,-
-,-,4.43801,FeII_2374,0.929,0.097 ,-,-,-,-,-,-,-,-,-,-
-,-,4.43801,FeII_1608,0.736,0.009 ,-,-,-,-,-,-,-,-,-,-
-,3c,4.43495,FeII,-,-,-,13.89,0.03 ,-,88,32.7, 1.3,YYYY,Y,I
-,3a,4.43757,FeII,-,-,-,14.55,0.02 ,-,112,41.5, 1.6,YYYY,Y,I
-,3d,4.43930,FeII,-,-,-,13.99,0.05 ,-,99,38.8, 5.3,YYYY,Y,I
-,3b,4.44069,FeII,-,-,-,14.45,0.02 ,-,73,23.3, 1.4,YYYY,Y,I
3,-,4.43818,AlII_1670,1.698,0.01 ,-,14.19,0.04 ,S,323,-,-,YYYY,N,I
-,3c,4.43495,AlII,-,-,-,12.96,0.02 ,-,87,32.7, 1.3,YYYY,N,I
-,3a,4.43757,AlII,-,-,-,13.95,0.06 ,S,111,41.5, 1.6,YYYY,N,I
-,3d,4.43930,AlII,-,-,-,13.33,0.04 ,S,99,38.8, 5.3,YYYY,N,I
-,3b,4.44069,AlII,-,-,-,13.53,0.07 ,S,69,23.3, 1.4,YYYY,N,I
3,-,4.43859,CIV_1548,1.162,0.01 ,-,14.98,0.03 ,S,251,-,-,YYYY,Y,I
-,-,4.43859,CIV_1550,0.891,0.01 ,-,-,-,-,-,-,-,-,-,-
-,3e,4.43567,CIV,-,-,-,13.39,0.06 ,-,95,36.5, 7.0,YYYY,Y,I
-,3f,4.43675,CIV,-,-,-,13.89,0.09 ,S,48,10.8, 3.5,YYYY,Y,I
-,3g,4.43817,CIV,-,-,-,14.58,0.03 ,S,108,43.1, 3.9,YYYY,Y,I
-,3h,4.43934,CIV,-,-,-,14.62,0.05 ,S,75,27.1, 1.5,YYYY,Y,I
-,3i,4.44177,CIV,-,-,-,13.62,0.05 ,S,89,34.3, 3.7,YYYY,Y,I
4,-,4.44200,MgII_2796,0.517,0.016 ,-,13.41,0.06 ,-,71,-,-,YYYY,Y,I
-,-,4.44200,MgII_2803,0.359,0.016 ,-,-,-,-,-,-,-,-,-,-
-,4a,4.44200,MgII,-,-,-,13.41,0.06 ,-,71,24.2, 2.9,YYYY,Y,I
4,-,4.44200,FeII_2382,0.286,0.011 ,-,13.42,0.04 ,-,71,-,-,YYYY,Y,I
-,-,4.44200,FeII_2344,0.126,0.023 ,-,-,-,-,-,-,-,-,-,-
-,-,4.44200,FeII_2374,0.039,0.043 ,-,-,-,-,-,-,-,-,-,-
-,-,4.44200,FeII_1608,0.033,0.005 ,-,-,-,-,-,-,-,-,-,-
-,4a,4.44200,FeII,-,-,-,13.42,0.04 ,-,71,24.2, 2.9,YYYY,Y,I
4,-,4.44200,AlII_1670,0.091,0.005 ,-,12.39,0.06 ,-,70,-,-,YYYY,N,I
-,4a,4.44200,AlII,-,-,-,12.39,0.06 ,-,71,24.2, 2.9,YYYY,N,I
4,-,4.44327,CIV_1548,0.371,0.004 ,-,14.14,0.02 ,-,117,-,-,NNYY,N,I
-,-,4.44327,CIV_1550,0.224,0.003 ,-,-,-,-,-,-,-,-,-,-
-,4b,4.44327,CIV,-,-,-,14.14,0.02 ,S,117,47.0, 2.3,NNYY,N,I
5,-,4.51381,CIV_1548,0.152,0.004 ,-,13.67,0.02 ,-,85,-,-,YYYY,Y,I
-,-,4.51381,CIV_1550,0.084,0.006 ,-,-,-,-,-,-,-,-,-,-
-,5a,4.51381,CIV,-,-,-,13.67,0.02 ,S,85,31.9, 1.8,YYYY,Y,I
6,-,4.59245,CIV_1548,0.235,0.012 ,-,13.81,0.04 ,-,280,-,-,YYYY,Y,I
-,-,4.59245,CIV_1550,0.123,0.011 ,-,-,-,-,-,-,-,-,-,-
-,6a,4.59141,CIV,-,-,-,13.63,0.04 ,-,187,78.5, 9.0,YYYY,Y,I
-,6b,4.59465,CIV,-,-,-,13.32,0.08 ,-,79,28.4, 7.1,YYYY,Y,I
