# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,3.02093,MgII_2796,0.531,0.027 ,-,13.51,0.11 ,-,67,-,-,YYYY,Y,I
-,-,3.02093,MgII_2803,0.393,0.030 ,-,-,-,-,-,-,-,-,-,-
-,1a,3.02093,MgII,-,-,-,13.51,0.11 ,-,67,21.9, 2.8,YYYY,Y,I
1,-,3.02093,FeII_2382,0.222,0.011 ,-,13.28,0.05 ,-,65,-,-,YYYY,Y,I
-,-,3.02093,FeII_2600,0.208,0.037 ,-,-,-,-,-,-,-,-,-,-
-,-,3.02093,FeII_2344,0.093,0.014 ,-,-,-,-,-,-,-,-,-,-
-,-,3.02093,FeII_2586,0.072,0.044 ,-,-,-,-,-,-,-,-,-,-
-,-,3.02093,FeII_2374,0.029,0.013 ,-,-,-,-,-,-,-,-,-,-
-,1a,3.02093,FeII,-,-,-,13.28,0.05 ,-,65,21.9, 2.8,YYYY,Y,I
2,-,3.19764,MgII_2796,0.359,0.025 ,-,13.06,0.05 ,-,83,-,-,YYYY,Y,I
-,-,3.19764,MgII_2803,0.209,0.025 ,-,-,-,-,-,-,-,-,-,-
-,2a,3.19764,MgII,-,-,-,13.06,0.05 ,-,83,30.2, 4.5,YYYY,Y,I
3,-,3.34031,MgII_2796,0.596,0.055 ,-,13.29,0.04 ,-,211,-,-,YYYY,Y,I
-,-,3.34031,MgII_2803,0.348,0.029 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.33965,MgII,-,-,-,13.14,0.05 ,-,89,33.7, 4.0,YYYY,Y,I
-,3b,3.34191,MgII,-,-,-,12.75,0.07 ,-,55,14.9,11.1,YYYY,Y,I
4,-,3.46384,MgI_2852,0.300,0.045 ,-,12.39,0.09 ,-,263,-,-,YYYY,N,I
-,4a,3.46195,MgI,-,-,-,11.67,0.25 ,-,71,24.4, 1.3,YYYY,N,I
-,4b,3.46348,MgI,-,-,-,11.92,0.11 ,-,71,23.8, 1.7,YYYY,N,I
-,4c,3.46451,MgI,-,-,-,11.89,0.15 ,-,83,30.1, 3.5,YYYY,N,I
-,4d,3.46555,MgI,-,-,-,11.59,0.26 ,-,55,13.5, 1.5,YYYY,N,I
4,-,3.46375,MgII_2796,2.626,0.03 ,-,14.96,0.13 ,S,258,-,-,YYYY,Y,I
-,-,3.46375,MgII_2803,2.421,0.02 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.46195,MgII,-,-,-,13.78,0.05 ,S,71,24.4, 1.3,YYYY,Y,I
-,4b,3.46348,MgII,-,-,-,14.36,0.13 ,S,77,23.8, 1.7,YYYY,Y,I
-,4c,3.46451,MgII,-,-,-,14.63,0.23 ,S,99,30.1, 3.5,YYYY,Y,I
-,4d,3.46555,MgII,-,-,-,14.29,0.27 ,S,57,13.5, 1.5,YYYY,Y,I
4,-,3.46397,FeII_2600,1.663,0.035 ,-,14.56,0.02 ,-,241,-,-,YYYY,Y,I
-,-,3.46397,FeII_2382,1.621,0.032 ,-,-,-,-,-,-,-,-,-,-
-,-,3.46397,FeII_2344,1.059,0.036 ,-,-,-,-,-,-,-,-,-,-
-,-,3.46397,FeII_2586,0.930,0.035 ,-,-,-,-,-,-,-,-,-,-
-,-,3.46397,FeII_2374,0.455,0.033 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.46195,FeII,-,-,-,13.31,0.04 ,-,71,24.4, 1.3,YYYY,Y,I
-,4b,3.46348,FeII,-,-,-,14.26,0.04 ,-,71,23.8, 1.7,YYYY,Y,I
-,4c,3.46451,FeII,-,-,-,13.99,0.03 ,-,82,30.1, 3.5,YYYY,Y,I
-,4d,3.46555,FeII,-,-,-,13.79,0.05 ,-,53,13.5, 1.5,YYYY,Y,I
4,-,3.46366,ZnII_2026,0.093,0.012 ,-,12.73,0.07 ,-,212,-,-,NNYY,N,I
-,-,3.46366,ZnII_2062,0.048,0.014 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.46195,ZnII,-,-,-,11.94,0.27 ,-,69,24.4, 1.3,NNYY,N,I
-,4b,3.46348,ZnII,-,-,-,12.34,0.08 ,-,69,23.8, 1.7,NNYY,N,I
