# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.10700,MgII_2796,0.912,0.010 ,-,13.66,0.02 ,-,211,-,-,YYYY,Y,I
-,-,2.10700,MgII_2803,0.610,0.009 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.10536,MgII,-,-,-,12.33,0.19 ,-,40, 5.0, 2.4,YYYY,Y,I
-,1b,2.10643,MgII,-,-,-,12.88,0.02 ,-,71,25.8, 2.0,YYYY,Y,I
-,1c,2.10696,MgII,-,-,-,12.54,0.08 ,-,41, 7.2, 3.2,YYYY,Y,I
-,1d,2.10733,MgII,-,-,-,13.45,0.03 ,-,51,15.7, 1.0,YYYY,Y,I
-,1e,2.10797,MgII,-,-,-,12.63,0.04 ,-,43, 9.1, 2.0,YYYY,Y,I
2,-,2.29728,MgII_2796,0.364,0.006 ,-,13.41,0.03 ,-,49,-,-,YYYY,Y,I
-,-,2.29728,MgII_2803,0.280,0.006 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.29727,MgII,-,-,-,13.41,0.03 ,-,49,14.1, 0.6,YYYY,Y,I
2,-,2.29727,FeII_2600,0.180,0.004 ,-,13.27,0.02 ,-,49,-,-,YYYY,Y,I
-,-,2.29727,FeII_2586,0.067,0.004 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.29727,FeII,-,-,-,13.27,0.02 ,-,49,14.1, 0.6,YYYY,Y,I
3,-,2.40588,MgII_2796,0.447,0.023 ,-,13.11,0.03 ,-,127,-,-,YYYY,Y,I
-,-,2.40588,MgII_2803,0.247,0.014 ,-,-,-,-,-,-,-,-,-,-
-,3a,2.40588,MgII,-,-,-,13.11,0.03 ,-,127,52.6, 3.7,YYYY,Y,I
3,-,2.40588,FeII_2600,0.094,0.011 ,-,12.84,0.08 ,-,127,-,-,YYNY,N,I
-,3a,2.40588,FeII,-,-,-,12.84,0.08 ,-,127,52.6, 3.7,YYNY,N,I
4,-,2.43113,MgII_2796,1.537,0.014 ,-,13.92,0.02 ,-,195,-,-,YYYY,Y,I
-,-,2.43113,MgII_2803,1.101,0.014 ,-,-,-,-,-,-,-,-,-,-
-,4a,2.43006,MgII,-,-,-,13.19,0.03 ,-,57,18.4, 1.7,YYYY,Y,I
-,4b,2.43100,MgII,-,-,-,13.50,0.02 ,-,77,29.4, 2.0,YYYY,Y,I
-,4c,2.43190,MgII,-,-,-,13.56,0.03 ,-,69,25.5, 1.5,YYYY,Y,I
4,-,2.43138,FeII_2600,0.398,0.017 ,-,13.52,0.03 ,-,186,-,-,YYYY,Y,I
-,-,2.43138,FeII_2586,0.129,0.012 ,-,-,-,-,-,-,-,-,-,-
-,4a,2.43006,FeII,-,-,-,12.47,0.12 ,-,57,18.4, 1.7,YYYY,Y,I
-,4b,2.43100,FeII,-,-,-,13.09,0.05 ,-,77,29.4, 2.0,YYYY,Y,I
-,4c,2.43190,FeII,-,-,-,13.26,0.04 ,-,71,25.5, 1.5,YYYY,Y,I
5,-,2.76471,MgII_2796,0.143,0.019 ,-,12.66,0.06 ,-,51,-,-,YYYY,Y,I
-,-,2.76471,MgII_2803,0.083,0.011 ,-,-,-,-,-,-,-,-,-,-
-,5a,2.76471,MgII,-,-,-,12.66,0.06 ,-,51,12.2, 4.5,YYYY,Y,I
6,-,2.95473,MgII_2796,0.079,0.015 ,-,12.44,0.09 ,-,45,-,-,YYYY,Y,I
-,-,2.95473,MgII_2803,0.048,0.016 ,-,-,-,-,-,-,-,-,-,-
-,6a,2.95473,MgII,-,-,-,12.44,0.09 ,-,45, 6.0, 0.0,YYYY,Y,I
7,-,3.29328,MgII_2796,0.118,0.014 ,-,12.62,0.08 ,-,47,-,-,YYYY,Y,I
-,-,3.29328,MgII_2803,0.072,0.013 ,-,-,-,-,-,-,-,-,-,-
-,7a,3.29328,MgII,-,-,-,12.62,0.08 ,-,47, 8.1, 4.9,YYYY,Y,I
8,-,3.39583,MgII_2796,1.187,0.028 ,-,13.96,0.07 ,-,197,-,-,YYYY,Y,I
-,-,3.39583,MgII_2803,0.919,0.034 ,-,-,-,-,-,-,-,-,-,-
-,8a,3.39528,MgII,-,-,-,13.74,0.02 ,-,94,35.9, 1.4,YYYY,Y,I
-,8b,3.39740,MgII,-,-,-,13.54,0.17 ,-,49,10.2, 1.4,YYYY,Y,I
8,-,3.39678,FeII_2382,0.214,0.029 ,-,13.31,0.05 ,-,191,-,-,YYYY,Y,I
-,-,3.39678,FeII_2600,0.203,0.025 ,-,-,-,-,-,-,-,-,-,-
-,-,3.39678,FeII_2344,0.073,0.017 ,-,-,-,-,-,-,-,-,-,-
-,-,3.39678,FeII_2586,0.057,0.013 ,-,-,-,-,-,-,-,-,-,-
-,8a,3.39528,FeII,-,-,-,12.61,0.13 ,-,95,35.9, 1.4,YYYY,Y,I
-,8b,3.39740,FeII,-,-,-,13.21,0.05 ,-,49,10.2, 1.4,YYYY,Y,I
9,-,3.82590,MgI_2852,0.428,0.523 ,-,12.62,0.19 ,-,157,-,-,YYYY,N,I
-,9a,3.82481,MgI,-,-,-,12.01,0.20 ,-,105,41.2, 1.1,YYYY,N,I
-,9b,3.82636,MgI,-,-,-,12.50,0.25 ,-,73,25.6, 3.5,YYYY,N,I
9,-,3.82448,MgII_2796,3.686,0.04 ,-,14.67,0.10 ,S,324,-,-,YYYY,Y,I
-,-,3.82448,MgII_2803,3.217,0.09 ,-,-,-,-,-,-,-,-,-,-
-,9c,3.82191,MgII,-,-,-,14.01,0.39 ,S,67,21.0, 4.8,YYYY,Y,I
-,9d,3.82475,MgII,-,-,-,14.57,0.06 ,S,284,112.3,11.5,YYYY,Y,I
9,-,3.82454,FeII_2600,1.756,0.017 ,-,14.63,0.02 ,-,224,-,-,YYYY,Y,I
