# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.39562,MgII_2796,0.109,0.005 ,-,12.50,0.03 ,-,45,-,-,YYYY,Y,I
-,-,2.39562,MgII_2803,0.060,0.007 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.39562,MgII,-,-,-,12.50,0.03 ,-,45,13.1, 2.1,YYYY,Y,I
2,-,2.40240,MgII_2796,0.062,0.004 ,-,12.32,0.11 ,-,37,-,-,YYYY,Y,I
-,-,2.40240,MgII_2803,0.038,0.005 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.40241,MgII,-,-,-,12.32,0.11 ,-,36, 5.0, 1.7,YYYY,Y,I
3,-,2.48071,MgI_2852,0.261,0.015 ,-,12.40,0.05 ,-,98,-,-,YYYN,N,I
-,3a,2.48051,MgI,-,-,-,12.27,0.06 ,-,53,17.5, 0.9,YYYN,N,I
-,3b,2.48121,MgI,-,-,-,11.81,0.12 ,-,49,15.1, 0.6,YYYN,N,I
3,-,2.48008,MgII_2796,2.516, $\pm$ 0.01 ,-,15.34, $\pm$ 0.17 ,S,308,-,-,YYYY,Y,I
-,-,2.48008,MgII_2803,2.050, $\pm$ 0.01 ,-,-,-,-,-,-,-,-,-,-
-,3c,2.47765,MgII,-,-,-,13.00,0.02 ,-,69,25.6, 1.6,YYYY,Y,I
-,3d,2.47899,MgII,-,-,-,13.08,0.04 ,-,113,46.3, 5.5,YYYY,Y,I
-,3e,2.47902,MgII,-,-,-,13.13,0.06 ,-,41, 9.7, 2.1,YYYY,Y,I
-,3f,2.48070,MgII,-,-,-,15.33,0.17 ,S,130,34.8, 1.6,YYYY,Y,I
-,3g,2.48238,MgII,-,-,-,12.67,0.03 ,-,51,16.7, 2.2,YYYY,Y,I
3,-,2.48045,FeII_2600,1.148,0.006 ,-,14.44,0.02 ,-,145,-,-,YYYY,Y,I
-,-,2.48045,FeII_2586,0.684,0.009 ,-,-,-,-,-,-,-,-,-,-
-,3c,2.47765,FeII,-,-,-,12.62,0.11 ,-,69,25.6, 1.6,YYYY,Y,I
-,3e,2.47902,FeII,-,-,-,12.57,0.05 ,-,41, 9.7, 2.1,YYYY,Y,I
-,3h,2.48006,FeII,-,-,-,13.35,0.06 ,-,57,19.5, 2.3,YYYY,Y,I
-,3a,2.48051,FeII,-,-,-,14.23,0.03 ,-,53,17.5, 0.9,YYYY,Y,I
-,3b,2.48121,FeII,-,-,-,13.88,0.02 ,-,49,15.1, 0.6,YYYY,Y,I
3,-,2.48072,MnII_2576,0.052,0.005 ,-,12.41,0.05 ,-,99,-,-,YYYY,N,I
-,-,2.48072,MnII_2594,0.041,0.004 ,-,-,-,-,-,-,-,-,-,-
-,-,2.48072,MnII_2606,0.030,0.005 ,-,-,-,-,-,-,-,-,-,-
-,3a,2.48051,MnII,-,-,-,12.25,0.05 ,-,53,17.5, 0.9,YYYY,N,I
-,3b,2.48121,MnII,-,-,-,11.88,0.11 ,-,49,15.1, 0.6,YYYY,N,I
4,-,2.61883,MgII_2796,0.104,0.027 ,-,12.42,0.12 ,-,75,-,-,NNYN,N,I
-,-,2.61883,MgII_2803,0.054,0.034 ,-,-,-,-,-,-,-,-,-,-
-,4a,2.61883,MgII,-,-,-,12.42,0.12 ,-,75,29.0, 7.4,NNYN,N,I
4,-,2.61883,FeII_2382,0.018,0.002 ,-,12.06,0.08 ,-,75,-,-,YNYY,N,I
-,-,2.61883,FeII_2600,0.016,0.006 ,-,-,-,-,-,-,-,-,-,-
-,-,2.61883,FeII_2586,0.005,0.011 ,-,-,-,-,-,-,-,-,-,-
-,-,2.61883,FeII_2374,0.002,0.002 ,-,-,-,-,-,-,-,-,-,-
-,4a,2.61883,FeII,-,-,-,12.06,0.08 ,-,75,29.0, 7.4,YNYY,N,I
5,-,2.72210,MgI_2852,0.093,0.008 ,-,11.88,0.05 ,-,85,-,-,YYYY,N,I
-,5a,2.72210,MgI,-,-,-,11.88,0.05 ,-,85,31.5, 1.5,YYYY,N,I
5,-,2.72197,MgII_2796,1.086, $\pm$ 0.01 ,-,14.04, $\pm$ 0.04 ,S,106,-,-,YYYY,Y,I
-,-,2.72197,MgII_2803,0.879, $\pm$ 0.01 ,-,-,-,-,-,-,-,-,-,-
-,5b,2.72132,MgII,-,-,-,12.79,0.20 ,-,93,35.3,11.7,YYYY,Y,I
-,5a,2.72210,MgII,-,-,-,14.02,0.04 ,S,87,31.5, 1.5,YYYY,Y,I
5,-,2.72216,FeII_2382,0.351,0.006 ,-,13.58,0.02 ,-,84,-,-,YYYY,Y,I
-,-,2.72216,FeII_2600,0.339,0.005 ,-,-,-,-,-,-,-,-,-,-
-,-,2.72216,FeII_2344,0.165,0.003 ,-,-,-,-,-,-,-,-,-,-
-,-,2.72216,FeII_2586,0.133,0.006 ,-,-,-,-,-,-,-,-,-,-
-,-,2.72216,FeII_2374,0.055,0.006 ,-,-,-,-,-,-,-,-,-,-
-,5c,2.72205,FeII,-,-,-,13.30,0.03 ,-,83,32.6, 2.2,YYYY,Y,I
-,5d,2.72245,FeII,-,-,-,13.26,0.04 ,-,38, 6.9, 0.9,YYYY,Y,I
6,-,2.85360,MgII_2796,0.127,0.012 ,-,12.58,0.03 ,-,53,-,-,YYYY,Y,I
-,-,2.85360,MgII_2803,0.071,0.007 ,-,-,-,-,-,-,-,-,-,-
-,6a,2.85360,MgII,-,-,-,12.58,0.03 ,-,53,13.2, 2.4,YYYY,Y,I
7,-,3.01897,MgI_2852,0.241,0.028 ,-,12.33,0.08 ,-,160,-,-,YYYY,N,I
-,7a,3.01859,MgI,-,-,-,12.22,0.06 ,-,69,22.7, 0.9,YYYY,N,I
-,7b,3.02006,MgI,-,-,-,11.70,0.28 ,-,81,28.8, 1.6,YYYY,N,I
7,-,3.01885,MgII_2796,1.777, $\pm$ 0.04 ,-,15.16, $\pm$ 0.15 ,S,202,-,-,YYYY,Y,I
-,-,3.01885,MgII_2803,1.429, $\pm$ 0.01 ,-,-,-,-,-,-,-,-,-,-
-,7c,3.01746,MgII,-,-,-,12.96,0.08 ,-,93,35.5, 8.0,YYYY,Y,I
-,7a,3.01859,MgII,-,-,-,15.15,0.15 ,S,87,22.7, 0.9,YYYY,Y,I
