# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.37795,MgII_2796,0.457,0.015 ,-,13.49,0.13 ,-,111,-,-,NNYY,N,I
-,-,2.37795,MgII_2803,0.315,0.013 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.37737,MgII,-,-,-,12.33,0.11 ,-,49,14.2, 9.2,NNYY,N,I
-,1b,2.37785,MgII,-,-,-,13.09,0.05 ,-,45,10.8, 1.6,NNYY,N,I
-,1c,2.37842,MgII,-,-,-,13.21,0.24 ,-,39, 5.0, 0.0,NNYY,N,I
1,-,2.37802,FeII_2600,0.115,0.005 ,-,13.01,0.05 ,-,82,-,-,NNYY,N,I
-,-,2.37802,FeII_2586,0.039,0.004 ,-,-,-,-,-,-,-,-,-,-
-,1b,2.37785,FeII,-,-,-,12.84,0.03 ,-,45,10.8, 1.6,NNYY,N,I
-,1c,2.37842,FeII,-,-,-,12.51,0.12 ,-,40, 5.0, 1.6,NNYY,N,I
2,-,2.53247,MgII_2796,3.022, $\pm$ 0.05 ,-,15.11, $\pm$ 0.10 ,S,307,-,-,YYYY,Y,I
-,-,2.53247,MgII_2803,2.562, $\pm$ 0.03 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.52983,MgII,-,-,-,12.96,0.11 ,-,45,10.8, 2.6,YYYY,Y,I
-,2b,2.53118,MgII,-,-,-,13.66,0.06 ,-,83,31.8, 3.4,YYYY,Y,I
-,2c,2.53272,MgII,-,-,-,15.07,0.11 ,S,126,35.9, 0.9,YYYY,Y,I
-,2d,2.53431,MgII,-,-,-,13.74,0.07 ,S,63,22.4, 1.2,YYYY,Y,I
2,-,2.53266,FeII_2600,1.861, $\pm$ 0.01 ,-,14.94, $\pm$ 0.04 ,S,272,-,-,YYYY,Y,I
-,-,2.53266,FeII_2586,1.208, $\pm$ 0.01 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.52983,FeII,-,-,-,13.04,0.05 ,-,45,10.8, 2.6,YYYY,Y,I
-,2e,2.53118,FeII,-,-,-,13.33,0.03 ,-,63,21.6, 2.1,YYYY,Y,I
-,2c,2.53272,FeII,-,-,-,14.90,0.04 ,S,107,35.9, 0.9,YYYY,Y,I
-,2d,2.53431,FeII,-,-,-,13.63,0.02 ,-,63,22.4, 1.2,YYYY,Y,I
2,-,2.53306,MnII_2576,0.088,0.012 ,-,12.63,0.09 ,-,191,-,-,YYYY,N,I
-,-,2.53306,MnII_2594,0.069,0.011 ,-,-,-,-,-,-,-,-,-,-
-,-,2.53306,MnII_2606,0.050,0.012 ,-,-,-,-,-,-,-,-,-,-
-,2c,2.53272,MnII,-,-,-,12.53,0.09 ,-,91,35.9, 0.9,YYYY,N,I
-,2d,2.53431,MnII,-,-,-,11.96,0.26 ,-,65,22.4, 1.2,YYYY,N,I
3,-,2.53536,MgII_2796,0.330,0.019 ,-,13.67,0.15 ,-,68,-,-,NNYY,N,I
