# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.43103,MgII_2796,0.092,0.011 ,-,12.46,0.04 ,-,41,-,-,YYYY,Y,I
-,-,2.43103,MgII_2803,0.053,0.009 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.43103,MgII,-,-,-,12.46,0.04 ,-,41, 8.5, 3.0,YYYY,Y,I
2,-,3.20716,MgII_2796,0.731,0.019 ,-,13.46,0.03 ,-,107,-,-,YYYY,Y,I
-,-,3.20716,MgII_2803,0.464,0.020 ,-,-,-,-,-,-,-,-,-,-
-,2a,3.20716,MgII,-,-,-,13.46,0.03 ,-,107,42.8, 2.6,YYYY,Y,I
3,-,3.31958,MgII_2796,0.270,0.012 ,-,13.15,0.07 ,-,51,-,-,YYYY,Y,I
-,-,3.31958,MgII_2803,0.190,0.012 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.31958,MgII,-,-,-,13.15,0.07 ,-,51,12.3, 2.1,YYYY,Y,I
3,-,3.31958,FeII_2382,0.113,0.017 ,-,12.97,0.08 ,-,51,-,-,YYYY,Y,I
-,-,3.31958,FeII_2600,0.106,0.016 ,-,-,-,-,-,-,-,-,-,-
-,-,3.31958,FeII_2586,0.036,0.022 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.31958,FeII,-,-,-,12.97,0.08 ,-,51,12.3, 2.1,YYYY,Y,I
4,-,3.41850,MgII_2796,0.542,0.022 ,-,13.28,0.03 ,-,121,-,-,YYYY,Y,I
-,-,3.41850,MgII_2803,0.327,0.017 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.41794,MgII,-,-,-,12.93,0.04 ,-,66,21.8, 4.1,YYYY,Y,I
