# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.13293,MgII_2796,0.038,0.009 ,-,12.05,0.06 ,-,42,-,-,YYYY,Y,I
-,-,2.13293,MgII_2803,0.020,0.005 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.13293,MgII,-,-,-,12.05,0.06 ,-,42, 5.3, 0.0,YYYY,Y,I
2,-,2.23666,MgII_2796,0.053,0.011 ,-,12.12,0.10 ,-,69,-,-,YYYY,Y,I
-,-,2.23666,MgII_2803,0.027,0.007 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.23666,MgII,-,-,-,12.12,0.10 ,-,69,24.5, 8.6,YYYY,Y,I
3,-,3.49374,MgII_2796,0.609,0.021 ,-,13.35,0.04 ,-,209,-,-,YYYY,Y,I
-,-,3.49374,MgII_2803,0.371,0.027 ,-,-,-,-,-,-,-,-,-,-
-,3a,3.49233,MgII,-,-,-,12.60,0.06 ,-,73,24.4, 6.2,YYYY,Y,I
-,3b,3.49359,MgII,-,-,-,13.05,0.06 ,-,55,13.9, 2.6,YYYY,Y,I
-,3c,3.49496,MgII,-,-,-,12.84,0.06 ,-,55,14.6, 4.9,YYYY,Y,I
3,-,3.49359,FeII_2382,0.072,0.015 ,-,12.71,0.10 ,-,55,-,-,YYYY,Y,I
-,-,3.49359,FeII_2600,0.066,0.016 ,-,-,-,-,-,-,-,-,-,-
-,3b,3.49359,FeII,-,-,-,12.71,0.10 ,-,55,13.9, 2.6,YYYY,Y,I
4,-,3.81859,MgII_2796,0.331,0.021 ,-,13.08,0.05 ,-,67,-,-,YYYY,Y,I
-,-,3.81859,MgII_2803,0.204,0.035 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.81859,MgII,-,-,-,13.08,0.05 ,-,67,21.7, 3.7,YYYY,Y,I
4,-,3.81859,FeII_2382,0.064,0.015 ,-,12.64,0.09 ,-,67,-,-,YYYY,Y,I
-,-,3.81859,FeII_2600,0.058,0.012 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.81859,FeII,-,-,-,12.64,0.09 ,-,67,21.7, 3.7,YYYY,Y,I
5,-,4.13868,MgII_2796,2.489,0.08 ,-,14.42,0.15 ,S,311,-,-,YYYY,Y,I
-,-,4.13868,MgII_2803,1.902,0.04 ,-,-,-,-,-,-,-,-,-,-
-,5a,4.13603,MgII,-,-,-,14.12,0.30 ,S,58,14.0, 1.7,YYYY,Y,I
-,5b,4.13771,MgII,-,-,-,13.47,0.07 ,-,222,93.6,15.4,YYYY,Y,I
-,5c,4.14029,MgII,-,-,-,14.01,0.06 ,S,119,47.6, 4.9,YYYY,Y,I
5,-,4.13914,FeII_2382,1.056,0.025 ,-,14.39,0.03 ,-,296,-,-,YYYY,Y,I
-,-,4.13914,FeII_2600,1.052,0.026 ,-,-,-,-,-,-,-,-,-,-
-,-,4.13914,FeII_2344,0.639,0.025 ,-,-,-,-,-,-,-,-,-,-
-,-,4.13914,FeII_2586,0.568,0.024 ,-,-,-,-,-,-,-,-,-,-
-,-,4.13914,FeII_2374,0.291,0.038 ,-,-,-,-,-,-,-,-,-,-
-,5a,4.13603,FeII,-,-,-,13.18,0.05 ,-,55,14.0, 1.7,YYYY,Y,I
-,5b,4.13771,FeII,-,-,-,13.15,0.08 ,-,222,93.6,15.4,YYYY,Y,I
-,5d,4.14012,FeII,-,-,-,14.32,0.03 ,-,71,22.4, 0.8,YYYY,Y,I
-,5e,4.14118,FeII,-,-,-,12.98,0.07 ,-,59,16.4, 5.2,YYYY,Y,I
5,-,4.14012,SiII_1808,0.033,0.005 ,-,14.76,0.12 ,-,65,-,-,YYYY,N,I
