# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,3.63009,MgII_2796,1.208,0.038 ,-,13.77,0.06 ,-,143,-,-,YYYY,Y,I
-,-,3.63009,MgII_2803,0.833,0.030 ,-,-,-,-,-,-,-,-,-,-
-,1a,3.62952,MgII,-,-,-,13.47,0.09 ,-,88,32.6, 7.4,YYYY,Y,I
-,1b,3.63061,MgII,-,-,-,13.46,0.09 ,-,100,38.2, 7.3,YYYY,Y,I
1,-,3.63011,FeII_2382,0.406,0.052 ,-,13.49,0.08 ,-,144,-,-,YYYY,Y,I
-,-,3.63011,FeII_2600,0.374,0.030 ,-,-,-,-,-,-,-,-,-,-
-,1a,3.62952,FeII,-,-,-,13.15,0.13 ,-,89,32.6, 7.4,YYYY,Y,I
-,1b,3.63061,FeII,-,-,-,13.22,0.10 ,-,100,38.2, 7.3,YYYY,Y,I
2,-,3.71416,MgII_2796,3.444, $\pm$ 0.03 ,-,14.41, $\pm$ 0.03 ,S,375,-,-,YYYY,Y,I
-,-,3.71416,MgII_2803,2.692, $\pm$ 0.05 ,-,-,-,-,-,-,-,-,-,-
-,2a,3.71114,MgII,-,-,-,13.57,0.05 ,-,73,24.0, 2.0,YYYY,Y,I
-,2b,3.71345,MgII,-,-,-,13.85,0.04 ,-,180,74.8, 7.6,YYYY,Y,I
-,2c,3.71487,MgII,-,-,-,13.73,0.10 ,-,69,21.9, 4.3,YYYY,Y,I
-,2d,3.71635,MgII,-,-,-,13.98,0.04 ,S,112,43.6, 3.1,YYYY,Y,I
2,-,3.71414,FeII_2382,1.616,0.063 ,-,14.18,0.02 ,-,374,-,-,YYYY,Y,I
-,-,3.71414,FeII_2600,1.537,0.055 ,-,-,-,-,-,-,-,-,-,-
-,-,3.71414,FeII_2344,0.717,0.045 ,-,-,-,-,-,-,-,-,-,-
-,-,3.71414,FeII_2586,0.556,0.054 ,-,-,-,-,-,-,-,-,-,-
-,2a,3.71114,FeII,-,-,-,13.40,0.05 ,-,73,24.0, 2.0,YYYY,Y,I
-,2b,3.71345,FeII,-,-,-,13.70,0.04 ,-,180,74.8, 7.6,YYYY,Y,I
-,2c,3.71487,FeII,-,-,-,13.52,0.06 ,-,69,21.9, 4.3,YYYY,Y,I
-,2d,3.71635,FeII,-,-,-,13.63,0.03 ,-,112,43.6, 3.1,YYYY,Y,I
3,-,3.71764,MgII_2796,0.243,0.014 ,-,12.99,0.07 ,-,57,-,-,YYYY,Y,I
-,-,3.71764,MgII_2803,0.155,0.015 ,-,-,-,-,-,-,-,-,-,-
