# QsoID,SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample,(P)roximateOr(I)ntervening
# (0),(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
ATLASJ025-33,-,5a,3.21653,MgII,-,-,-,12.62,0.04 ,-,79,27.1, 5.0,YYYY,Y,I
ATLASJ025-33,-,5b,3.21796,MgII,-,-,-,12.48,0.06 ,-,79,27.9, 6.2,YYYY,Y,I
ATLASJ025-33,6,-,4.76600,CIV_1548,0.058,0.004 ,-,13.13,0.04 ,-,210,-,-,YYYY,Y,I
ATLASJ025-33,-,-,4.76600,CIV_1550,0.030,0.004 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,6a,4.76405,CIV,-,-,-,12.67,0.06 ,-,57,17.6, 5.1,YYYY,Y,I
ATLASJ025-33,-,6b,4.76702,CIV,-,-,-,12.94,0.05 ,-,87,33.3, 5.2,YYYY,Y,I
ATLASJ025-33,7,-,4.86459,CIV_1548,0.052,0.002 ,-,13.15,0.02 ,-,67,-,-,YYYY,Y,I
ATLASJ025-33,-,-,4.86459,CIV_1550,0.027,0.003 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,7a,4.86459,CIV,-,-,-,13.15,0.02 ,-,67,23.0, 1.4,YYYY,Y,I
ATLASJ025-33,8,-,4.89614,CIV_1548,0.091,0.002 ,-,13.41,0.02 ,-,88,-,-,YYYY,Y,I
ATLASJ025-33,-,-,4.89614,CIV_1550,0.049,0.003 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,8a,4.89528,CIV,-,-,-,12.54,0.08 ,-,48,11.7, 6.4,YYYY,Y,I
ATLASJ025-33,-,8b,4.89629,CIV,-,-,-,13.35,0.01 ,S,65,22.0, 1.4,YYYY,Y,I
ATLASJ025-33,9,-,4.92021,CIV_1548,0.020,0.003 ,-,12.72,0.05 ,-,61,-,-,YYYY,Y,I
ATLASJ025-33,-,-,4.92021,CIV_1550,0.010,0.003 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,9a,4.92021,CIV,-,-,-,12.72,0.05 ,-,61,19.7, 4.8,YYYY,Y,I
ATLASJ025-33,10,-,4.92887,CIV_1548,0.011,0.002 ,-,12.46,0.32 ,-,41,-,-,NNYY,N,I
ATLASJ025-33,-,-,4.92887,CIV_1550,0.006,0.002 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,10a,4.92886,CIV,-,-,-,12.46,0.32 ,-,41, 5.5, 9.2,NNYY,N,I
ATLASJ025-33,11,-,4.93722,CIV_1548,0.077,0.004 ,-,13.32,0.04 ,-,199,-,-,YYYY,Y,I
ATLASJ025-33,-,-,4.93722,CIV_1550,0.043,0.005 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,11a,4.93589,CIV,-,-,-,12.75,0.05 ,-,43, 5.4, 0.0,YYYY,Y,I
ATLASJ025-33,-,11b,4.93671,CIV,-,-,-,13.00,0.03 ,-,45, 9.3, 3.0,YYYY,Y,I
ATLASJ025-33,-,11c,4.93918,CIV,-,-,-,12.74,0.15 ,-,81,30.0, 9.7,YYYY,Y,I
ATLASJ025-33,12,-,5.18941,CIV_1548,0.092,0.004 ,-,13.46,0.02 ,-,70,-,-,YYYY,Y,I
ATLASJ025-33,-,-,5.18941,CIV_1550,0.052,0.004 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,12a,5.18863,CIV,-,-,-,12.52,0.09 ,-,43, 5.4, 0.0,YYYY,Y,I
ATLASJ025-33,-,12b,5.18952,CIV,-,-,-,13.41,0.01 ,S,53,15.6, 1.3,YYYY,Y,I
ATLASJ025-33,13,-,5.20945,CIV_1548,0.035,0.004 ,-,13.06,0.07 ,-,42,-,-,YYYY,Y,I
ATLASJ025-33,-,-,5.20945,CIV_1550,0.021,0.004 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,13a,5.20946,CIV,-,-,-,13.06,0.07 ,-,41, 6.0, 4.2,YYYY,Y,I
ATLASJ025-33,14,-,5.21746,CIV_1548,0.033,0.004 ,-,12.96,0.08 ,-,49,-,-,NNYY,N,I
ATLASJ025-33,-,-,5.21746,CIV_1550,0.018,0.003 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,14a,5.21746,CIV,-,-,-,12.96,0.08 ,-,49,12.6, 6.8,NNYY,N,I
ATLASJ025-33,15,-,5.31617,MgII_2796,0.802,0.02 ,-,14.14,0.05 ,S,83,-,-,YYYY,Y,I
ATLASJ025-33,-,-,5.31617,MgII_2803,0.687,0.01 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,15a,5.31604,MgII,-,-,-,14.14,0.05 ,S,73,22.1, 0.6,YYYY,Y,I
ATLASJ025-33,-,15b,5.31779,MgII,-,-,-,12.27,0.07 ,-,49, 6.5, 0.0,YYYY,Y,I
ATLASJ025-33,15,-,5.31604,FeII_2600,0.440,0.007 ,-,13.82,0.02 ,-,69,-,-,YYYY,Y,I
ATLASJ025-33,-,-,5.31604,FeII_2382,0.437,0.016 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,-,5.31604,FeII_2344,0.250,0.032 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,-,5.31604,FeII_2586,0.207,0.011 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,-,5.31604,FeII_2374,0.091,0.009 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,-,5.31604,FeII_1608,0.075,0.017 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,15a,5.31604,FeII,-,-,-,13.82,0.02 ,-,69,22.1, 0.6,YYYY,Y,I
ATLASJ025-33,15,-,5.31604,SiII_1526,0.211,0.004 ,-,14.12,0.02 ,-,65,-,-,YYYY,N,I
ATLASJ025-33,-,15a,5.31604,SiII,-,-,-,14.12,0.02 ,-,65,22.1, 0.6,YYYY,N,I
ATLASJ025-33,15,-,5.31604,AlII_1670,0.184,0.007 ,-,12.80,0.04 ,-,69,-,-,YYYY,N,I
ATLASJ025-33,-,15a,5.31604,AlII,-,-,-,12.80,0.04 ,-,69,22.1, 0.6,YYYY,N,I
ATLASJ025-33,15,-,5.31785,CIV_1548,0.466,0.008 ,-,14.15,0.02 ,-,250,-,-,YYYY,Y,I
ATLASJ025-33,-,-,5.31785,CIV_1550,0.256,0.018 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,15c,5.31580,CIV,-,-,-,13.65,0.03 ,-,102,40.5, 3.6,YYYY,Y,I
ATLASJ025-33,-,15d,5.31881,CIV,-,-,-,13.98,0.02 ,S,174,72.9, 4.1,YYYY,Y,I
ATLASJ025-33,16,-,5.43764,CIV_1548,0.055,0.014 ,-,13.16,0.10 ,-,95,-,-,YYYY,Y,I
ATLASJ025-33,-,-,5.43764,CIV_1550,0.028,0.011 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,16a,5.43764,CIV,-,-,-,13.16,0.10 ,-,95,37.3, 4.2,YYYY,Y,I
ATLASJ025-33,16,-,5.43764,SiIV_1393,0.033,0.002 ,-,12.59,0.04 ,-,95,-,-,YYYY,Y,I
ATLASJ025-33,-,-,5.43764,SiIV_1402,0.017,0.002 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,16a,5.43764,SiIV,-,-,-,12.59,0.04 ,-,95,37.3, 4.2,YYYY,Y,I
ATLASJ025-33,17,-,5.54548,SiIV_1393,0.018,0.002 ,-,12.35,0.04 ,-,49,-,-,YYYY,Y,I
ATLASJ025-33,-,-,5.54548,SiIV_1402,0.009,0.002 ,-,-,-,-,-,-,-,-,-,-
ATLASJ025-33,-,17a,5.54548,SiIV,-,-,-,12.35,0.04 ,-,49,12.3, 3.6,YYYY,Y,I
ATLASJ025-33,18,-,5.64573,CIV_1550,0.026, - ,U,13.12, - ,U,49,-,-,NNNY,N,I
