# SystemID,ComponentID,z,Species,W,dW,W_flag,logN,dlogN,logN_flag,v90,b,db,SampleFlags,PrimarySample?,(P)roximateOr(I)ntervening
# (1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
# , , , , , ,(U)pper limit, , ,(U)pper limit, , , ,Flags are (in order from left-to-right):,Set to Y for absorption in primary ions* with all flags in Column 13 set to Y," Proximate absorbers are those separated from z_qso by -10,000 km/s to +5,000 km/s"
# , , , , , , , , ,(S)aturated, , , ,Was the system identified by the automatic line finder?,"*MgII, FeII, CII, CIV, SiIV and NV, as well as OI and SiII_1260", 
# , , , , , , , , ,(M)ultiple values, , , ,Did the system pass the visual inspection check?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of masked wavelength regions?, , 
# , , , , , , , , , , , , ,Does the absorption lie outside of BAL regions?, , 
1,-,2.28198,MgII_2796,0.021,0.001 ,-,11.69,0.08 ,-,75,-,-,YYYY,Y,I
-,-,2.28198,MgII_2803,0.010,0.001 ,-,-,-,-,-,-,-,-,-,-
-,1a,2.28198,MgII,-,-,-,11.69,0.08 ,-,75,25.8,10.4,YYYY,Y,I
2,-,2.33228,MgII_2796,0.078,0.003 ,-,12.30,0.04 ,-,145,-,-,YYYY,Y,I
-,-,2.33228,MgII_2803,0.040,0.003 ,-,-,-,-,-,-,-,-,-,-
-,2a,2.33171,MgII,-,-,-,11.86,0.07 ,-,53,11.4, 8.5,YYYY,Y,I
-,2b,2.33223,MgII,-,-,-,11.76,0.06 ,-,49, 6.3, 0.0,YYYY,Y,I
-,2c,2.33295,MgII,-,-,-,11.83,0.08 ,-,51,10.0, 8.6,YYYY,Y,I
3,-,2.41624,MgII_2796,0.190,0.002 ,-,12.91,0.05 ,-,51,-,-,YNYY,N,I
-,-,2.41624,MgII_2803,0.125,0.002 ,-,-,-,-,-,-,-,-,-,-
-,3a,2.41624,MgII,-,-,-,12.91,0.05 ,-,51,10.0, 0.0,YNYY,N,I
4,-,3.06295,MgII_2796,0.051,0.004 ,-,12.15,0.12 ,-,55,-,-,YNYY,N,I
-,-,3.06295,MgII_2803,0.028,0.002 ,-,-,-,-,-,-,-,-,-,-
-,4a,3.06295,MgII,-,-,-,12.15,0.12 ,-,55, 8.0,13.5,YNYY,N,I
5,-,3.16968,MgI_2852,0.301,0.002 ,-,12.46,0.02 ,-,92,-,-,YYYY,N,I
-,5a,3.16922,MgI,-,-,-,11.55,0.10 ,-,79,25.0, 1.0,YYYY,N,I
-,5b,3.16976,MgI,-,-,-,12.41,0.02 ,-,81,26.8, 0.7,YYYY,N,I
5,-,3.16953,MgII_2796,1.296, $\pm$ 0.00 ,-,14.63, $\pm$ 0.05 ,S,111,-,-,YYYY,Y,I
-,-,3.16953,MgII_2803,1.193, $\pm$ 0.00 ,-,-,-,-,-,-,-,-,-,-
-,5a,3.16922,MgII,-,-,-,14.35,0.08 ,S,83,25.0, 1.0,YYYY,Y,I
-,5b,3.16976,MgII,-,-,-,14.30,0.05 ,S,87,26.8, 0.7,YYYY,Y,I
-,5c,3.17185,MgII,-,-,-,11.54,0.06 ,-,67,18.5, 9.3,YYYY,Y,I
5,-,3.16957,FeII_2600,0.599,0.004 ,-,14.76,0.35 ,M,102,-,-,YYYY,Y,I
-,-,3.16957,FeII_2586,0.404,0.002 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16957,FeII_2382,0.379,0.002 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16957,FeII_2344,0.285,0.001 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16957,FeII_2374,0.190,0.004 ,-,-,-,-,-,-,-,-,-,-
-,5a,3.16922,FeII,-,-,-,14.05,0.31 ,M,73,25.0, 1.0,YYYY,Y,I
-,5b,3.16976,FeII,-,-,-,14.67,0.43 ,M,84,26.8, 0.7,YYYY,Y,I
5,-,3.16964,MnII_2576,0.122,0.004 ,-,12.80,0.04 ,-,97,-,-,YYYY,N,I
-,-,3.16964,MnII_2594,0.098,0.004 ,-,-,-,-,-,-,-,-,-,-
-,-,3.16964,MnII_2606,0.071,0.003 ,-,-,-,-,-,-,-,-,-,-
-,5a,3.16922,MnII,-,-,-,12.11,0.13 ,-,79,25.0, 1.0,YYYY,N,I
-,5b,3.16976,MnII,-,-,-,12.70,0.04 ,-,81,26.8, 0.7,YYYY,N,I
5,-,3.16976,CaII_3934,0.057,0.002 ,-,11.83,0.04 ,-,81,-,-,YYYY,N,I
-,-,3.16976,CaII_3969,0.029,0.005 ,-,-,-,-,-,-,-,-,-,-
-,5b,3.16976,CaII,-,-,-,11.83,0.04 ,-,81,26.8, 0.7,YYYY,N,I
6,-,3.40754,MgII_2796,0.169,0.003 ,-,12.96,0.05 ,-,55,-,-,YYYY,Y,I
-,-,3.40754,MgII_2803,0.119,0.002 ,-,-,-,-,-,-,-,-,-,-
-,6a,3.40753,MgII,-,-,-,12.96,0.05 ,-,55, 7.6, 0.7,YYYY,Y,I
6,-,3.40753,FeII_2382,0.062,0.001 ,-,12.69,0.02 ,-,55,-,-,YYYY,Y,I
-,-,3.40753,FeII_2600,0.058,0.002 ,-,-,-,-,-,-,-,-,-,-
-,-,3.40753,FeII_2344,0.025,0.002 ,-,-,-,-,-,-,-,-,-,-
-,-,3.40753,FeII_2586,0.019,0.002 ,-,-,-,-,-,-,-,-,-,-
-,6a,3.40753,FeII,-,-,-,12.69,0.02 ,-,55, 7.6, 0.7,YYYY,Y,I
